id_struttura,tot_prenotazioni_accettate,tot_prenotazioni_rifiutate_zero_revenue,tot_unità_vendute,tot_ospiti,tot_ospiti_adulti,tot_ospiti_bambini,tot_ricavo,tot_ricavo_unità,categoria_struttura,perc_prenotazioni_accettate,perc_prenotazioni_rifiutate_zero_revenue,perc_trattamento_colazione,perc_trattamento_mezza_pensione,perc_trattamento_non_specificato,perc_trattamento_pensione_completa,perc_trattamento_solo_camera,perc_trattamento_tutto_incluso,perc_canale_OTA,perc_canale_NA,perc_canale_other,perc_canale_dest_web,perc_canale_dir_offline,perc_canale_dir_web,perc_canale_distribution,perc_mercato_business,perc_mercato_business_groups,perc_mercato_leisure_groups,perc_mercato_retail,perc_mercato_target_other,durata_media_pernottamento,delta_creazione_arrivo_medio_prenotazione,media_unità_vendute_per_prenotazione,media_ospiti_per_prenotazione,media_ospiti_adulti_per_prenotazione,media_ospiti_bambini_per_prenotazione,media_camere_occupate,media_percentuale_occupazione,media_ricavo_per_prenotazione,media_ricavo_unità_per_prenotazione,media_ricavo_su_cameranotte_per_prenotazione,media_ricavo_unita_su_cameranotte_per_prenotazione,media_IT_per_prenotazione,media_DE_per_prenotazione,media_foreigners_per_prenotazione,media_majority_foreigners_per_prenotazione,media_minority_foreigners_per_prenotazione,perc_Lunedì_prenotazioni,perc_Martedì_prenotazioni,perc_Mercoledì_prenotazioni,perc_Giovedì_prenotazioni,perc_Venerdì_prenotazioni,perc_Sabato_prenotazioni,perc_Domenica_prenotazioni,perc_Gennaio_prenotazioni,perc_Febbraio_prenotazioni,perc_Marzo_prenotazioni,perc_Aprile_prenotazioni,perc_Maggio_prenotazioni,perc_Giugno_prenotazioni,perc_Luglio_prenotazioni,perc_Agosto_prenotazioni,perc_Settembre_prenotazioni,perc_Ottobre_prenotazioni,perc_Novembre_prenotazioni,perc_Dicembre_prenotazioni,comune_struttura,comune_struttura_NO_FRAZIONE,area_geografica
609108192ea50bcc6c55d410,15,1,16.0,33.0,33.0,0.0,1983.75,1828.75,0,0.9375,0.0625,0.9375,0.0,0.0,0.0,0.0625,0.0,0.3125,0.0,0.5,0.0,0.0625,0.125,0.0,0.0,0.0,0.0,0.0,1.0,5.0625,-20.3125,1.0,2.0625,2.0625,0.0,5.608333333333333,0.5608333333333333,123.984375,114.296875,39.84517609126984,36.73952132936508,0.125,1.6875,1.9375,1.8125,0.125,0.05639880952380952,0.13452380952380952,0.06577380952380953,0.08660714285714285,0.23244047619047617,0.2063988095238095,0.21785714285714286,0.0,0.0,0.0,0.8526785714285714,0.08482142857142858,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,Riva del garda,Riva del garda,0
60a654692ea50bcc156ebcff,1655,4,1660.0,3872.0,3161.0,711.0,261042.04269530615,191236.05631435377,2,0.9971715433161217,0.00282845668387837,0.2397590361445783,0.6430722891566265,0.0,0.11716867469879517,0.0,0.0,0.058433734939759036,0.0,0.45,0.0018072289156626507,0.3897590361445783,0.1,0.0,0.0012048192771084338,0.0,0.0,0.42409638554216866,0.5746987951807229,5.276506024096386,-51.706626506024094,1.0,2.3325301204819278,1.9042168674698796,0.4283132530120482,46.68460517860565,0.7653213963705846,157.25424258753384,115.20244356286372,46.94727150298875,37.38304911800922,2.0072289156626506,0.03132530120481928,0.3253012048192771,0.25421686746987954,0.07108433734939759,0.11953711264427815,0.12417910165294438,0.12285258345895632,0.13281279111573976,0.16216793343695687,0.2138726895242431,0.12457778816688138,0.12157773952954676,0.1339130548166693,0.11318390444896469,0.0,0.0,0.0,0.17474242255313913,0.16647530550193834,0.10817986230636832,0.0,0.0,0.1819277108433735,Dimaro-Folgarida (Dimaro),Dimaro-Folgarida,2
60ae10382ea50bcc6c55d420,179,57,237.0,546.0,475.0,71.0,21597.404445554446,15039.942907092907,1,0.7591691009412529,0.24083089905874716,0.6075949367088608,0.22784810126582278,0.0,0.0,0.004219409282700422,0.16033755274261605,0.1308016877637131,0.0,0.16877637130801687,0.0,0.70042194092827,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9367088607594938,-52.70464135021097,1.0,2.3037974683544302,2.0042194092827006,0.29957805907172996,6.4500177506506615,0.8062522188313327,91.12828879980779,63.45967471347218,45.092590693129004,32.3419337803494,1.9409282700421941,0.21518987341772153,0.3628691983122363,0.3459915611814346,0.016877637130801686,0.09596608267494343,0.10223339717010603,0.09351328465252516,0.1258453454655986,0.215055713156979,0.2652749032495868,0.10211127363026096,0.0,0.0,0.0,0.0,0.0,0.2549728752260398,0.275919228450874,0.3346895720313442,0.07394012457303598,0.06047819971870605,0.0,0.0,Ledro,Ledro,0
60ae54dd2ea50bcc156ebd1b,634,29,664.0,1691.0,1587.0,104.0,145403.61274725274,128753.53655677655,4,0.9555220883534137,0.04447791164658635,0.8082329317269076,0.18674698795180722,0.0,0.0050200803212851405,0.0,0.0,0.19728915662650603,0.0,0.03765060240963856,0.0,0.5662650602409639,0.19879518072289157,0.0,0.0,0.0,0.0,1.0,0.0,5.478915662650603,-62.31777108433735,1.0,2.5466867469879517,2.3900602409638556,0.1566265060240964,20.129508234402813,0.774211855169339,218.98134449887462,193.90592854936227,52.518405018687204,47.318863856261466,1.5240963855421688,0.2033132530120482,1.0225903614457832,0.5737951807228916,0.44879518072289154,0.12206187386910278,0.12427070921046825,0.1308051804286744,0.1265130117539756,0.14883981898289125,0.21633608610265234,0.1311733196522353,0.208197074010327,0.14347748135398739,0.127241107286288,0.0,0.0,0.03922475616752725,0.18410786001147447,0.16581683878370626,0.0671758462421113,0.0,0.0,0.06475903614457831,Canazei,Canazei,1
60b0b51d2ea50bcc156ebd29,772,8,780.0,1392.0,1351.0,41.0,69151.12,63719.12,1,0.9897435897435898,0.010256410256410256,0.9705128205128205,0.0,0.0,0.0,0.029487179487179487,0.0,0.44358974358974357,0.0,0.0,0.008974358974358974,0.4256410256410256,0.12179487179487179,0.0,0.0,0.0,0.0,1.0,0.0,2.7564102564102564,-31.673076923076923,1.0,1.7846153846153847,1.7320512820512821,0.052564102564102565,17.938416540724234,1.281315467194588,88.65528205128204,81.6911794871795,49.9961615959539,46.141406493506494,0.9987179487179487,0.7846153846153846,0.7858974358974359,0.7858974358974359,0.0,0.11484317676625368,0.10809460126767818,0.11290585482893176,0.13806093123400814,0.1894117421040498,0.21967417909725603,0.1170095147018224,0.00641025641025641,0.0,0.0,0.0787004662004662,0.13189782439782438,0.16105616605616607,0.19835164835164837,0.16713064713064713,0.13510683760683762,0.10211538461538462,0.0,0.019230769230769232,Nago-Torbole,Nago-Torbole,0
60b0d5c72ea50bcc6c55d43c,1160,209,1369.0,3625.0,3625.0,0.0,144883.24952380953,92943.91952380953,2,0.8473338203067933,0.15266617969320673,0.2191380569758948,0.5748721694667641,0.0,0.0635500365230095,0.14243973703433163,0.0,0.2337472607742878,0.0,0.2498173849525201,0.0,0.4631117604090577,0.053323593864134405,0.0,0.0,0.0,0.0,0.0007304601899196494,0.9992695398100804,3.655953250547845,-49.387874360847334,1.0,2.647918188458729,2.647918188458729,0.0,27.16197693832829,0.8761928044622029,105.83144596333786,67.89183310723851,45.47393111240722,32.354223879112155,2.2892622352081813,0.05186267348429511,0.35865595325054783,0.18115412710007306,0.1775018261504748,0.10140468653982167,0.10116728697809779,0.1016907834475402,0.12933870163599892,0.17858592182916508,0.273923150950178,0.11388946861919834,0.11351351351351352,0.10782288079585377,0.024098229503634907,0.0,0.0,0.05884030748895614,0.21352684731063107,0.15652080652080652,0.11146996417266687,0.016252739225712198,0.0,0.197954711468225,Predazzo (Bellamonte),Predazzo,1
60b13ce32ea50bcc6c55d458,0,294,294.0,682.0,682.0,0.0,0.0,0.0,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.091836734693878,-3.9625850340136055,1.0,2.3197278911564627,2.3197278911564627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3197278911564627,0.0,0.0,0.0,0.0,0.13591023488982673,0.13150082155184195,0.13377751311424782,0.14019394720925332,0.15223065388881715,0.18059927600743927,0.12578755333857375,0.04931972789115646,0.05723598963394882,0.036301425332037576,0.0,0.0,0.04805636540330418,0.27989440642501867,0.2972532947022743,0.055068042312940275,0.0,0.0,0.17687074829931973,San Giovanni di Fassa,San Giovanni di Fassa,1
60b4a5292ea50bcbbca728a8,1825,85,1910.0,3945.0,3945.0,0.0,217571.6484563492,200909.6484563492,2,0.9554973821989529,0.04450261780104712,0.8900523560209425,0.0,0.0,0.0005235602094240838,0.1094240837696335,0.0,0.32146596858638743,0.0,0.4193717277486911,0.0,0.2356020942408377,0.02356020942408377,0.0,0.0,0.0,0.0,0.0,1.0,1.9157068062827225,-123.30785340314137,1.0,2.0654450261780104,2.0654450261780104,0.0,20.827432685115934,0.9055405515267796,113.91185783054932,105.18829762112524,84.93970810169247,78.45436411176735,0.49162303664921464,0.8806282722513089,1.5738219895287957,1.2989528795811518,0.27486910994764396,0.11224148016032832,0.10971675648377219,0.11795555811262617,0.1261129170422364,0.1920179602247665,0.21256143362164304,0.12939389435462734,0.002617801047120419,0.0,0.0,0.08587260034904015,0.09659436549488906,0.1762066816255298,0.1961530790326602,0.18022438294689605,0.19742208925454996,0.06412365993517827,0.0002617801047120419,0.0005235602094240838,Riva del garda,Riva del garda,0
60bb3e902ea50bcc6c55d482,715,0,715.0,1386.0,1386.0,0.0,96124.18,73337.14,2,1.0,0.0,0.23776223776223776,0.6545454545454545,0.0,0.06433566433566433,0.043356643356643354,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.218181818181818,-33.40559440559441,1.0,1.9384615384615385,1.9384615384615385,0.0,24.31520108097031,0.9352000415757812,134.4394125874126,102.56942657342657,52.613635099088945,42.01322451181297,1.9384615384615385,0.0,0.0,0.0,0.0,0.1052312644620337,0.10065861488938412,0.09947757370834293,0.12101603524680447,0.18164540587617511,0.27716988140065063,0.11480122441660903,0.14855144855144856,0.135997335997336,0.09027639027639028,0.02937062937062937,0.0,0.0199000999000999,0.17660173160173162,0.19242812742812743,0.06561549561549561,0.0,0.0,0.14125874125874127,Dimaro-Folgarida (Dimaro),Dimaro-Folgarida,2
60d1d6f32ea50bcbbca728d4,1412,27,1439.0,2700.0,2597.0,103.0,198030.03,156494.58,1,0.9812369701181376,0.018763029881862403,0.2661570535093815,0.7067407922168172,0.0,0.0,0.027102154273801252,0.0,0.3669214732453092,0.0,0.0,0.0006949270326615705,0.5830437804030577,0.04933981931897151,0.0,0.0,0.0,0.0,1.0,0.0,2.644197359277276,-52.89089645587213,1.0,1.8763029881862405,1.8047255038220986,0.07157748436414177,25.763729321408267,1.0305491728563305,137.61642112578178,108.75231410701875,84.54767495866037,67.82879545579893,1.8749131341209173,0.001389854065323141,0.001389854065323141,0.001389854065323141,0.0,0.12306172516387943,0.12373734866785596,0.1316454779102451,0.12282569565404866,0.16466855089162247,0.21640779882614491,0.11765340288620345,0.0872133425990271,0.06253515999867633,0.08205930044012046,0.03365432343889606,0.022585128561501043,0.15010423905489922,0.1909229292829015,0.176624880794443,0.12897755475934766,0.0,0.0,0.06532314107018763,Canazei,Canazei,1
